2025-12-24 08:50:27.214 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;01010131
2025-12-24 08:50:44.842 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001108322C180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB00000000000000000000000006010104000006

2025-12-24 08:50:45.849 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001208322D180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000E0

2025-12-24 08:50:46.902 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001308322E180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000E7

2025-12-24 08:50:47.606 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001408322F180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB0000000000000000000000000601010400009A

2025-12-24 08:50:48.711 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000015083230180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB00000000000000000000000006010104000011

2025-12-24 08:50:50.021 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000016083231180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB0000000000000000000000000601010400002C

2025-12-24 08:50:51.026 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000017083232180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB0000000000000000000000000601010400002B

2025-12-24 08:50:52.032 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000018083233180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB0000000000000000000000000601010400002F

2025-12-24 08:50:53.039 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000019083234180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000E5

2025-12-24 08:50:53.745 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001A083235180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000D8

2025-12-24 08:50:54.850 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001B083236180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000B4

2025-12-24 08:50:55.657 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001C083237180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB00000000000000000000000006010104000044

2025-12-24 08:50:56.662 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001D083238180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000F9

2025-12-24 08:50:57.970 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001E083239180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB000000000000000000000000060101040000C4

2025-12-24 08:50:58.976 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000001F08323A180C190000000400000000000000CB00E3010800000000000000000192018F018A0000000000DB00DB0000000000000000000000000601010400003C

2025-12-24 08:50:59.981 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;0000002008323B180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB000000000000000000000000060101040000F3

2025-12-24 08:51:00.785 INFO  org.alloy.core.raw - mac=E09806083396, data=:E09806083396;00000021083300180C190000000400000000000000CB00E3010800000000000000000192018F018B0000000000DB00DB0000000000000000000000000601010400002F

